2013-04-18 02:24:01 - FileSync started for [\\HAFMDEVF1\HAFM] [F:\HAFMDEVF1\HAFM] [F:\HAFMDEVF1.bak\HAFM]
2013-04-18 02:25:19 - Info: {[A] REVAMP\Testing\HAFM UAT\PB exe\PBL\DEN_SP~1.BMP  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022692-1 - IMMU CMSAF2.3.0 & Mavenize\T022692-1 v1.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022692-2 - SCCP CMSAF2.3.0 & Mavenize\T022692-2 v1.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022692-3 - HAFM CMSAF2.3.0 & Mavenize\T022692-3 v1.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022819 - IMMU Improvement\T022819 v1.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022929 - SCCP\U0229229 vx.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\022929 - SCCP\U022929 v1.0.doc  |  }
2013-04-18 02:25:20 - Info: {[A] Specification\2013\023170 - HAFM repeat ICPC\T023170 v1.0.doc  |  }
2013-04-18 02:25:21 - Info: {[A] Specification\Before 2009\2003 (mixed)\2003-03\HAFM\007881\~WRL2812.tmp  |  }
2013-04-18 02:25:23 - Info: {[U] Support\Response.xlsx  |  [U] Support\Response.xlsx}
2013-04-18 02:25:23 - FileSync Completed
